,work_id,nace,region_code,region,employee_points
0,118415099,11.070,03,Oslo,60
1,165189001,10.920,03,Oslo,54
2,959013544,46.693,12,Hordaland (-2019),46
3,405013223,09.900,02,Akershus (-2019),88
4,185537475,11.060,03,Oslo,91
5,317355238,46.370,11,Rogaland,43
6,749395240,46.694,12,Hordaland (-2019),47
7,148079683,13.100,03,Oslo,50
8,872612507,46.390,11,Rogaland,55
9,021643602,46.710,12,Hordaland (-2019),61
10,257489826,45.191,11,Rogaland,24
11,790482779,52.214,50,Trøndelag - Trööndelage,62
12,175391017,52.219,50,Trøndelag - Trööndelage,37
13,780329966,52.215,50,Trøndelag - Trööndelage,31
14,305813555,10.110,02,Akershus (-2019),33
15,916151156,11.050,03,Oslo,40
16,870563989,05.200,02,Akershus (-2019),28
17,454848206,45.192,11,Rogaland,32
18,102617174,46.491,12,Hordaland (-2019),38
19,243519839,52.216,50,Trøndelag - Trööndelage,41
20,770321479,50.101,50,Trøndelag - Trööndelage,38
21,522088674,10.120,02,Akershus (-2019),44
22,559023560,12.000,03,Oslo,45
23,897441765,46.381,11,Rogaland,30
24,100349779,47.911,15,Møre og Romsdal,25
25,592217183,74.101,18,Nordland,36
26,497024942,46.495,12,Hordaland (-2019),20
27,578925701,08.910,02,Akershus (-2019),31
28,122274873,09.109,02,Akershus (-2019),32
29,835565540,01.630,01,Østfold (-2019),36
30,841061546,10.840,03,Oslo,22
31,154784873,46.150,11,Rogaland,19
32,916387843,07.290,02,Akershus (-2019),26
33,205064707,24.520,06,Buskerud (-2019),23
34,629984690,10.720,03,Oslo,21
35,734304687,08.920,02,Akershus (-2019),40
36,958123834,46.691,12,Hordaland (-2019),19
37,460800583,24.540,06,Buskerud (-2019),35
38,884806924,11.020,03,Oslo,23
39,658081456,74.103,18,Nordland,24
40,797390163,47.914,15,Møre og Romsdal,16
41,117538250,46.432,12,Hordaland (-2019),17
42,509842386,01.000u,01,Østfold (-2019),23
43,668844605,50.203,50,Trøndelag - Trööndelage,19
44,693444195,27.400,07,Vestfold (-2019),25
45,643724433,46.620,12,Hordaland (-2019),25
46,511022705,23.990,06,Buskerud (-2019),24
47,233884603,46.360,11,Rogaland,21
48,843127252,47.913,15,Møre og Romsdal,29
49,690667377,11.030,03,Oslo,59
50,926068850,06.100,02,Akershus (-2019),35
51,012350387,81.291,19,Troms - Romsa (-2019),21
52,919983289,51.210,50,Trøndelag - Trööndelage,15
53,037986827,74.200,18,Nordland,23
54,269851362,74.102,18,Nordland,12
55,131755897,43.341,10,Vest-Agder (-2019),21
56,698953017,27.900,07,Vestfold (-2019),16
57,761282496,01.700,01,Østfold (-2019),41
58,313278671,17.230,04,Hedmark (-2019),34
59,290352061,01.280,01,Østfold (-2019),24
60,320138589,46.692,12,Hordaland (-2019),55
61,894541555,27.520,07,Vestfold (-2019),39
62,021566705,46.320,11,Rogaland,30
63,512156252,11.040,03,Oslo,39
64,437346193,47.912,15,Møre og Romsdal,22
65,220048623,23.140,05,Oppland (-2019),22
66,626919911,52.212,50,Trøndelag - Trööndelage,14
67,794106353,18.110,04,Hedmark (-2019),40
68,674870873,43.911,10,Vest-Agder (-2019),27
69,358445554,81.210,19,Troms - Romsa (-2019),32
70,790172728,01.640,01,Østfold (-2019),22
71,254857832,10.860,03,Oslo,28
72,738118183,30.120,08,Telemark (-2019),30
73,094118753,46.433,12,Hordaland (-2019),24
74,383798780,24.530,06,Buskerud (-2019),28
75,675961810,08.113,02,Akershus (-2019),27
76,667268288,13.910,03,Oslo,24
77,306011555,26.110,07,Vestfold (-2019),26
78,123759552,81.220,19,Troms - Romsa (-2019),16
79,677940193,06.200,02,Akershus (-2019),16
80,323127182,23.200,05,Oppland (-2019),36
81,380699995,52.213,50,Trøndelag - Trööndelage,28
82,023550369,47.730,15,Møre og Romsdal,26
83,458666741,46.349,11,Rogaland,31
84,801762989,81.299,19,Troms - Romsa (-2019),30
85,204544310,47.762,15,Møre og Romsdal,14
86,001250188,24.310,06,Buskerud (-2019),19
87,744755785,70.210,18,Nordland,18
88,139155863,71.121,18,Nordland,13
89,213565107,27.510,07,Vestfold (-2019),19
90,305189389,50.400,50,Trøndelag - Trööndelage,22
91,987908212,08.990,02,Akershus (-2019),63
92,037873790,46.389,11,Rogaland,36
93,910827685,10.730,03,Oslo,33
94,751063261,20.510,05,Oppland (-2019),26
95,594899526,30.300,08,Telemark (-2019),24
96,632574156,08.112,02,Akershus (-2019),21
97,431050834,26.510,07,Vestfold (-2019),13
98,412090576,52.211,50,Trøndelag - Trööndelage,31
99,030265761,47.524,14,Sogn og Fjordane (-2019),14
100,357803516,43.390,10,Vest-Agder (-2019),21
101,224548065,46.160,11,Rogaland,35
102,536222219,30.400,08,Telemark (-2019),18
103,911730081,42.210,10,Vest-Agder (-2019),13
104,529869311,46.640,12,Hordaland (-2019),14
105,621958801,35.140,09,Aust-Agder (-2019),23
106,026824146,01.430,01,Østfold (-2019),14
107,497829203,10.203,02,Akershus (-2019),10
108,929954926,13.300,03,Oslo,34
109,732390064,46.240,11,Rogaland,18
110,946236008,17.290,04,Hedmark (-2019),24
111,481447961,30.200,08,Telemark (-2019),16
112,508401631,14.310,04,Hedmark (-2019),11
113,102936076,10.890,03,Oslo,28
114,383902895,46.660,12,Hordaland (-2019),24
115,712881237,51.100,50,Trøndelag - Trööndelage,16
116,057640555,46.520,12,Hordaland (-2019),20
117,623834804,43.342,10,Vest-Agder (-2019),16
118,633684807,51.220,50,Trøndelag - Trööndelage,22
119,255876913,50.102,50,Trøndelag - Trööndelage,26
120,215732814,46.130,11,Rogaland,10
121,325876318,08.120,02,Akershus (-2019),23
122,396802990,46.330,11,Rogaland,20
123,879881782,23.190,05,Oppland (-2019),22
124,440160874,46.170,11,Rogaland,11
125,648775662,43.120,10,Vest-Agder (-2019),12
126,175504846,46.492,12,Hordaland (-2019),20
127,805471908,35.230,09,Aust-Agder (-2019),12
128,878060440,79.110,19,Troms - Romsa (-2019),9
129,998242625,47.531,14,Sogn og Fjordane (-2019),24
130,599690859,24.460,06,Buskerud (-2019),10
131,062016491,20.600,05,Oppland (-2019),11
132,858004792,46.510,12,Hordaland (-2019),20
133,454812142,28.990,08,Telemark (-2019),10
134,035490155,47.890,15,Møre og Romsdal,18
135,619890749,10.202,02,Akershus (-2019),23
136,676347801,07.100,02,Akershus (-2019),18
137,227690865,16.100,04,Hedmark (-2019),10
138,626757429,28.920,08,Telemark (-2019),20
139,704455499,01.290,01,Østfold (-2019),30
140,241628580,24.510,06,Buskerud (-2019),28
141,486359004,77.390,19,Troms - Romsa (-2019),10
142,881002133,46.473,12,Hordaland (-2019),12
143,252007159,24.422,06,Buskerud (-2019),13
144,105588694,10.820,03,Oslo,18
145,024136571,46.650,12,Hordaland (-2019),28
146,259159088,46.230,11,Rogaland,17
147,209920192,01.452,01,Østfold (-2019),12
148,401126570,47.710,15,Møre og Romsdal,14
149,119312849,46.481,12,Hordaland (-2019),12
150,045777390,01.620,01,Østfold (-2019),18
